itemLabel,Alias 1,Native Name 1,Native Name 2,Native Name 3,Native Name 4,Native Name 5,Native Name 6,Native Name 7,Native Name 8,Native Name 9,Native Name 10
National Bank of the Republic of Abkhazia,,Аԥсны Аҳәынҭқарра Амилаҭтә Банк,Национальный банк Республики Абхазия,,,,,,,,
Da Afghanistan Bank,DAB,بانک مرکزی افغانستان,د افغانستان بانک,,,,,,,,
Bank of Albania,,Banka e Shqipërisë,,,,,,,,,
Bank of Algeria,,Banque d'Algérie,بنك الجزائر,,,,,,,,
National Bank of Angola,,Banco Nacional de Angola,,,,,,,,,
Eastern Caribbean Central Bank,,,,,,,,,,,
Central Bank of Argentina,,Banco Central de la República Argentina,,,,,,,,,
Central Bank of Armenia,,Հայաստանի Կենտրոնական Բանկ,,,,,,,,,
Central Bank of Aruba,,Centrale Bank van Aruba,Banco Central di Aruba,,,,,,,,
Reserve Bank of Australia,,,,,,,,,,,
European Central Bank,,Oesterreichische Nationalbank,,,,,,,,,
Central Bank of Azerbaijan,,Azərbaycan Mərkəzi Bankı,,,,,,,,,
Central Bank of The Bahamas,,,,,,,,,,,
Central Bank of Bahrain,,مصرف البحرين المركزي,,,,,,,,,
Bangladesh Bank,,বাংলাদেশ ব্যাংক,,,,,,,,,
Central Bank of Barbados,,,,,,,,,,,
National Bank of the Republic of Belarus,,Нацыянальны банк Рэспублікі Беларусь,Национальный банк Республики Беларусь,,,,,,,,
National Bank of Belgium,,Nationale Bank van België,Banque nationale de Belgique,Belgische Nationalbank,,,,,,,
Central Bank of Belize,,,,,,,,,,,
Central Bank of West African States,,Banque Centrale des États de l'Afrique de l'Ouest,,,,,,,,,
Bermuda Monetary Authority,,,,,,,,,,,
Royal Monetary Authority of Bhutan,,བྲུག་རྒྱལ་གཞུང་དངུལ་ལས་དབང་འཛིན་,,,,,,,,,
Central Bank of Bolivia,,Banco Central de Bolivia,,,,,,,,,
Central Bank of Bosnia and Herzegovina,,Centralna Banka Bosne i Hercegovine,Централна банка Босне и Херцеговине,,,,,,,,
Bank of Botswana,,Banka ya Botswana,,,,,,,,,
Central Bank of Brazil,,Banco Central do Brasil,,,,,,,,,
Brunei Darussalam Central Bank,,Bank Pusat Brunei Darussalam,,,,,,,,,
Bulgarian National Bank,,Българска народна банка,,,,,,,,,
Bank of the Republic of Burundi,,Banque de la République du Burundi,Ibanki ya Republika y'UBurundi,,,,,,,,
National Bank of Cambodia,,ធនាគារជាតិ នៃ កម្ពុជា,,,,,,,,,
Bank of Central African States,,Banque des États de l'Afrique Centrale,,,,,,,,,
Bank of Canada,,Banque du Canada,,,,,,,,,
Bank of Cape Verde,,Banco de Cabo Verde,,,,,,,,,
