itemLabel,Alias 1,Alias 2,Alias 3
African Export-Import Bank,Afreximbank,,
African Trade Insurance Agency,ATI,,
Agência Crédito à Exportação do Brasil S.A.,EXIM Brasil,,
Atradius,,,
Banco de Comercio Exterior de Colombia,Bancóldex,,
Banco Nacional de Comercio Exterior,Bancomext,,
Export Import Bank of Bangladesh Limited,,,
BPIfrance Assurance Export,BPI FAE,,
Brazilian Guarantees Agency,ABGF,,
Export Development Canada,EDC,,
China Export & Credit Insurance Corporation,Sinosure,,
CoBank,,,
Coface,,,
Compagnie Algérienne Assurance et de Garantie des Exportations,CAGEX,,
Companhia de Seguro de Créditos,,,
Compañía Española de Seguros de Crédito a la Exportación CESCE,Ministerio de Economía,,
Czech Export Bank,,,
ECGC Limited,,,
Etihad Credit Insurance,ECI,,
AuslandsGeschäftsAbsicherung der Bundesrepublik Deutschland,,,
Export and Investment Fund of Denmark,EIFO,,
Export Credit Bank of Turkey,Türk Eximbank,,
Export Credit Guarantee Company of Egypt,ECGE,,
Export Credit Insurance Organisation,ECIO,,
Export Credit Norway,,,
Export Credit Office,ECO,,
Export Credits Agency,ECA,,
Export Finance Australia,,,
Export Finance Norway,Eksfin,,
Export Finance and Insurance Corporation,EFIC,,
Export Guarantee and Insurance Corporation,EGAP,,
Export Guarantee Fund of Iran,EGFI,,
Export Insurance Agency of Russia,,,
Export-Import Bank of China,Exim,,
Export-Import Bank of India,,,
Export-Import Bank of the Slovak Republic,Eximbank SR,,
Export-Import Bank of the United States,Ex-Im Bank,,
Export-Import Credit Insurance Agency,EICIA,,
Export–Import Bank of the Republic of China,,,
Exportkreditnämnden,EKN,,
Finnvera,FEC,,
Finnish Export Credit Ltd,,,
Foreign Insurance Agency of Russia,,,
Hong Kong Export Credit Insurance Corporation,,,
Hungarian Export Credit Insurance Ltd,MEHIB,,
Hungarian Export-Import Bank,Eximbank,,
Islamic Corporation for the Insurance of Investment and Export Credit,ICIEC,,
Israel Foreign Trade Risks Insurance Corporation,ASHRA,,
Japan Bank for International Cooperation,JBIC,,
Korea Trade Insurance Corporation,K-SURE,,
Korporacja Ubezpieczeń Kredytów Eksportowych,KUKE,KUKE S.A.,
Kredex Krediidikindlustus,EST,,
Loan Guarantee & Export Credit Guarantee,,,
Nigerian Export-Import Bank,,,
Nippon Export and Investment Insurance,NEXI,,
Oesterreichische Kontrollbank AG,OeKB,,
Office du Ducroire,ODD,,
Credendo,,,
Philippine Guarantee Corporation,,,
SACE S.p.A. Servizi Assicurativi del Commercio Estero,,,
Saudi Export Program,SEP,,
Sri Lanka Export Credit Insurance Corporation,SLECIC,,
Swiss Export Risk Insurance,SERV,,
The EXIM Bank of Pakistan,,,
The Export-Import Bank of Korea,KEXIM,,
The Norwegian Guarantee Institute for Export Credits,GIEK,,
United Kingdom Export Finance,UKEF,,
Jordan Loan Guarantee Cooperation,JLGC,,
Société Marocaine d'Assurance à l'Exportation,,,
