Title,Jurisdictions,Document type,Document file
Aldous v. Greater Taree City Council and Another,Australia>New South Wales>Land and Environment Court,nan,nan
Ground Crew at Turramurra v. Ku-ring-gai Council,Australia>New South Wales>Land and Environment Court,nan,nan
Haughton v. Minister for Department of Planning and Others,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111202_2011-NSWLEC-217-Australia_decision-1.pdf
Able Lott Holdings Pty. Ltd. v. City of Fremantle,Australia>Western Australia>State Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100817_2010-WASAT-117-Australia_decision.pdf
Aldous v. Greater Taree City Council and Another,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090219_-2009-NCWELC-17-Australia_decision.pdf
Anvil Hill Project Watch Association v. Minister for the Environment and Water Resources,Australia>Federal Court of Australia,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20061127_2006-152-LGERA-258-Australia_decision.pdf
Australian Competition and Consumer Commission v. De Longhi Australia Pty. Ltd.,Australia>Federal Court of Australia,nan,nan
Australian Competition and Consumer Commission v. Global Green Plan Ltd.,Australia>Federal Court of Australia,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100929_2010-FCA-1057_opinion-1.pdf
Australian Competition and Consumer Commission v. GM Holden Ltd.,Australia>Federal Court of Australia,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080918_2008-FCA-1428_opinion-1.pdf
Australian Competition and Consumer Commission v. Goodyear Tyres,Australia>Federal Court of Australia,press release,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080626_2519_press-release.pdf
Australian Competition and Consumer Commission v. Prime Carbon Pty. Ltd.,Australia>Federal Court of Australia,press release,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100311_2521_press-release-1.pdf
Australian Competition and Consumer Commission v. V8 Supercars Australia Pty. Ltd.,Australia>Federal Court of Australia,press release,nan
Bernhard Seifert v. Colac-Otway Shire Council,Australia>Victoria>Civil and Administrative Tribunal,nan,nan
"Blue Wedges Inc. v. Minister for Environment, Heritage and the Arts",Australia>Federal Court of Australia,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080328_2008-167-FCR-463_opinion-1.pdf
Bock v. Moyne Shire Council,Australia>Victoria>Civil and Administrative Tribunal,order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20101120_2010-VCAT-1905-Australia_order.pdf
Bulga Milbrodale Progress Association Inc. v. Minister for Planning and Infrastructure and Warkworth Mining Limited,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130415_2013-NSWLEC-48-Australia_decision.pdf
Byron Shire Council v. Vaughan; Vaughan v. Byron Shire Council,Australia>New South Wales>Land and Environment Court,opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090529_2009-NSWLEC-88-2009-NSWLEC-110-_opinion.pdf
Campbell and Others v. Mornington Peninsula Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160827_2010-VCAT-1457-Australia_decision.pdf
Carey v. Murrindindi Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20110110_2011-VCAT-76-Australia_decision-1.pdf
Charles and Howard Pty. Ltd. v. Redland Shire Council,Australia>Queensland>Planning and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070615_2007-QCA-200-Australia_decision-1.pdf
Clean Energy Regulator v. MT Solar Pty. Ltd.,Australia>Federal Court of Australia,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130308_2013-FCA-205_judgment.pdf
Copley v. Logan City Council and Anor,Australia>Queensland>Planning and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120530_2012-QPEC-39-Australia_decision.pdf
David Kettle Consulting v. Gosford City Council,Australia>New South Wales>Land and Environment Court,judgment,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20081002_2008-NSWLEC-1385-Australia_judgment-1.pdf
Director of Public Prosecutions v. Fraser and O'Donnell,"Australia>New South Wales>Supreme Court of New South Wales, Common Law Division",opinion,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080502_2008-NSWSC-244-Australia_opinion.pdf
Drake-Brockman v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070813_2007-158-LGERA-349-Australia_decision.pdf
Dual Gas Pty. Ltd. and Others v. Environment Protection Authority,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120329_2012-VCAT-308-Australia_decision-1.pdf
Edmond Golf Pty. Ltd. v. Frankston City Council,Australia>Victoria>Civil and Administrative Tribunal,order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100714_2010-VCAT-1183-Australia_order.pdf
Environment Victoria Inc. v. Department of Primary Industries,Australia>Victoria>Civil and Administrative Tribunal,order,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130115_2013-VCAT-39-Australia_order-1.pdf
Gippsland Coastal Board v. South Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080729_2008-VCAT-1545-Australia_decision.pdf
Gray v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20061127_2006-152-LGERA-258-Australia_decision-1.pdf
Greenpeace Australia Ltd. v. Redbank Power Co.,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/1994/19941110_1994-86-LGERA-143-Australia_decision.pdf
Ground Crew at Turramurra v. Ku-ring-gai Council,Australia>New South Wales>Land and Environment Court,nan,nan
Haughton v. Minister for Department of Planning and Others,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111202_2011-NSWLEC-217-Australia_decision-2.pdf
Hunter Community Environment Centre Inc. v. Minister for Planning and Delta Electricity,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120824_2012-NSWLEC-195-Australia_decision-1.pdf
Hunter Environment Lobby Inc. v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111124_2011-NSWLEC-221-2012-NSWLEC-40-Australia_decision.pdf
Hunter Environment Lobby Inc. v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120313_2011-NSWLEC-221-2012-NSWLEC-40-Australia_decision.pdf
Ironstone Community Action Group Inc. v. NSW Minister for Planning and Duralie Coal Pty. Ltd.,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111110_2011-NSWLEC-195-Australia_decision-1.pdf
Ison v. Richmond Valley Council,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120619_2012-NSWLEC-1167_decision.pdf
Kala Developments Pty. Ltd. v. Surf Coast Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20101222_2010-VCAT-2106-2011-VCAT-513-Australia_decision-1.pdf
Kala Developments Pty. Ltd. v. Surf Coast Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20110328_2010-VCAT-2106-2011-VCAT-513-Australia_decision-1.pdf
Kennedy (on behalf of Sandon Point Aboriginal Tent Embassy) v. Minister for Planning,Australia>New South Wales>Land and Environment Court,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100729_2010-NSWLEC-129-Australia_decision.pdf
Lester v. Minister for Planning and Infrastructure,Australia>New South Wales>Land and Environment Court,nan,nan
Macquarie Generation v. Hodgson,Australia>New South Wales>Court of Appeals,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111222_2011-NSWCA-424-2010-NSWLEC-34-Australia_decision-1.pdf
McCulloch v. Bass Coast Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070309_2007-VCAT-363-Australia_decision-1.pdf
Minister for Planning v. Walker,"Australia>New South Wales>Supreme Court of New South Wales, Common Law Division",decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080924_2008-161-LGERA-423-Australia_decision.pdf
Myers v. South Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090622_2009-VCAT-1022-2009-VCAT-2414-Australia_decision.pdf
Myers v. South Gippsland Shire Council,Australia>Victoria>Civil and Administrative Tribunal,decision,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091119_2009-VCAT-1022-2009-VCAT-2414-Australia_decision.pdf
Newton and Anor v. Great Lakes Council,Australia>New South Wales>Land and Environment Court,nan,nan
