Title,Jurisdictions,Document type,Document file
"TransCanada Keystone Pipeline, LP v. Kerry",US,complaint,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160106_docket-416-cv-00036_complaint-1.pdf
"TransCanada Keystone Pipeline, LP v. Kerry",US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170130_docket-416-cv-00036_order-1.pdf
"TransCanada Keystone Pipeline, LP v. Kerry",US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170406_docket-416-cv-00036_order.pdf
"Notice of Intent to Submit a Claim to Arbitration Under Chapter 11 of the North American Free Trade Agreement, TransCanada Corp. v. Government of the United States of America",US,notice of intent to sue,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160106_docket-none_notice-of-intent-to-sue.pdf
Americans for Clean Energy v. EPA,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2020/20201123_docket-16-01005_motion.pdf
Americans for Clean Energy v. EPA,US,opinion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170728_docket-16-01005_opinion.pdf
Americans for Clean Energy v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20161215_docket-16-01005_brief.pdf
Americans for Clean Energy v. EPA,US,petition for review,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160108_docket-16-01005_petition-for-review-1.pdf
Americans for Clean Energy v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160113_docket-16-01005_motion-to-intervene-1.pdf
Americans for Clean Energy v. EPA,US,motion to intervene,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160205_docket-16-01005_motion-to-intervene.pdf
Americans for Clean Energy v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160908_docket-16-01005_brief.pdf
Americans for Clean Energy v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160908_docket-16-01005_brief-2.pdf
Americans for Clean Energy v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160908_docket-16-01005_brief-3.pdf
Americans for Clean Energy v. EPA,US,brief,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160908_docket-16-01005_brief-4.pdf
Americans for Clean Energy v. EPA,US,opposition,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160928_docket-16-01005_opposition.pdf
WildEarth Guardians v. Jewell,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160617_docket-115-cv-02026_order.pdf
WildEarth Guardians v. Jewell,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160129_docket-115-cv-02026_motion.pdf
WildEarth Guardians v. Jewell,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20151125_docket-115-cv-02026_motion.pdf
WildEarth Guardians v. Jewell,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160107_docket-115-cv-02026_response.pdf
WildEarth Guardians v. Jewell,US,petition for review,https://climatecasechart.com/wp-content/uploads/case-documents/2015/20150915_docket-115-cv-02026_petition-for-review-1.pdf
Center for Biological Diversity v. Federal Highway Administration,US,ruling,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20170511_docket-516-cv-00133_ruling.pdf
Center for Biological Diversity v. Federal Highway Administration,US,complaint,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160122_docket-516-cv-00133_complaint.pdf
Center for Biological Diversity v. Federal Highway Administration,US,memorandum,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160922_docket-516-cv-00133_memorandum-1.pdf
Idaho Conservation League v. U.S. Forest Service,US,complaint,https://climatecasechart.com/wp-content/uploads/case-documents/2016/20160115_docket-16-cv-25_complaint.pdf
Murray Energy Corp. v. Pruitt,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171214_docket-514-CV-00039_order.pdf
Murray Energy Corp. v. Pruitt,US,response,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171128_docket-514-CV-00039_response-1.pdf
Murray Energy Corp. v. Pruitt,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171114_docket-514-CV-00039_motion-1.pdf
Murray Energy Corp. v. Pruitt,US,order,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171103_docket-514-CV-00039_order.pdf
Murray Energy Corp. v. Pruitt,US,motion,https://climatecasechart.com/wp-content/uploads/case-documents/2017/20171026_docket-514-CV-00039_motion-1.pdf
