concept,ngram,country,rank,term,z,n_aus,n_tur,rate_per_10k_aus,rate_per_10k_tur
Q32,1,Australia,1,government,21.051607046565362,2649,1894,98.50047968879367,4.411158312636051
Q32,1,Australia,2,communities,19.48475304025466,2649,1894,73.99035365549145,6.041368993392852
Q32,1,Australia,3,nations,18.153370954145277,2649,1894,62.81951873414727,7.0962111985884295
Q32,1,Australia,4,community,15.60976130730713,2649,1894,46.654663495025694,4.698842550416662
Q32,1,Australia,5,energy,14.088156860465116,2649,1894,73.79322127452656,30.11095022103739
Q32,1,Australia,6,million,13.637360467757986,2649,1894,35.54953936733648,3.8357898370748265
Q32,1,Australia,7,including,13.11721382630712,2649,1894,49.41451682853425,16.206212061641143
Q32,1,Australia,8,program,12.722875988943844,2649,1894,42.449172701107884,12.562211716420057
Q32,1,Türkiye,1,women,-20.47772963699317,2649,1894,20.63318920765925,79.7844286111564
Q32,1,Türkiye,2,social,-20.33393128441318,2649,1894,25.10152317619692,86.49706082603734
Q32,1,Türkiye,3,children,-19.028808970277343,2649,1894,5.848260635291953,51.399583816802675
Q32,1,Türkiye,4,development,-16.287575794006532,2649,1894,42.712015875727744,96.56600914835876
Q32,1,Türkiye,5,institutions,-15.585988186420126,2649,1894,4.205490793917809,34.71389802552718
Q32,1,Türkiye,6,child,-14.987719349956924,2649,1894,2.1684561906138704,32.98779259884351
Q32,1,Türkiye,7,education,-14.814971304998398,2649,1894,11.696521270583906,43.34442515894554
Q32,1,Türkiye,8,policies,-14.323602661330494,2649,1894,12.87931555637329,43.72800414265303
Q32,2,Australia,1,net zero,9.82324096947075,2649,1894,73.46875644462776,12.993106435196882
Q32,2,Australia,2,clean energy,7.937138350282207,2649,1894,48.721385852753144,2.5264373623993936
Q32,2,Australia,3,developing countries,7.8979162499368725,2649,1894,64.4462775830068,19.850579275995237
Q32,2,Türkiye,1,action plan,-11.783090224623257,2649,1894,21.911734378222313,95.28278052477714
Q32,2,Türkiye,2,change adaptation,-9.125139394860943,2649,1894,14.951536399257579,60.273577074385535
Q32,2,Türkiye,3,climate change,-8.837712676611266,2649,1894,291.0393895648587,417.22308441909985
Q911,1,Australia,1,government,31.23589597497833,6393,3736,107.333306401115,3.642893571792861
Q911,1,Australia,2,emissions,28.661469038662215,6393,3736,102.8642414204052,34.07176928912146
