rank,term,z,rate_per_10k_justice,rate_per_10k_background
1,climate,75.96188645418636,76.82577011738702,37.53925141232716
2,development,75.08783485129224,50.621836911965964,18.46370646489593
3,adaptation,64.69807616310844,26.789345862492326,5.365099811909008
4,sustainable,61.937191856336426,24.904254964886025,5.249968914657742
5,climate change,57.5345883584738,41.123457150699544,19.249886020411722
6,support,54.93738751528585,26.585922731889667,9.480207025089983
7,local,51.542135301294174,21.61804841660589,7.036142549155959
8,biodiversity,50.66467388800267,16.923232643209243,3.7368199793553853
9,implementation,50.25791305483074,25.40760384330446,10.240070946948341
10,communities,49.19167581564919,15.000491103281158,2.5263008311135
11,change,48.10642684550254,45.984776492810504,26.8320779679594
12,women,47.87218738693538,18.03301274116013,0.7335482882009251
13,resources,43.05665215074344,21.94922785295092,9.953888430923763
14,community,42.33534969659839,12.007265038699195,2.769720442444749
15,gender,42.000519546761225,15.497077487690342,0.4769708600409603
16,project,41.371476103613844,41.5445594803568,25.91432024415645
17,strategy,41.294355859091134,15.147803810617853,5.440757258674126
18,management,41.232753583035226,33.950095937857576,19.83211941508241
19,social,40.71126164991357,13.864940420051767,4.661156611572695
20,policy,40.096570151960194,20.392392069955918,9.647969189656115
21,national,39.649791906608215,47.86072888499889,31.815601091835642
22,resilience,39.58307841585919,9.600731021946999,1.4177547632941647
23,measures,39.28529381421679,23.069425847078225,11.920982046816828
24,participation,37.856284586578674,8.942027551424106,1.5690696568244005
25,target,37.74280774417409,12.869391639824745,4.700630062058843
