cls,ngram,rank,term,z,count_in_class,count_in_others,rate_per_10k_in_class,rate_per_10k_in_others
only_Q32,1,1,women,196.20239138126814,18825,2970,57.06054965449951,1.1919937033835644
only_Q32,1,2,gender,151.25676811571228,25886,764,78.46318132039173,0.30662733649328056
only_Q32,1,3,rights,144.8510467772053,12757,1181,38.66780514966535,0.47398806858450826
only_Q32,1,4,project,142.88275746639889,34941,110444,105.90983614756267,44.32611197861764
only_Q32,1,5,reporting,130.303007480173,10867,16424,32.93901689750046,6.591685045242984
only_Q32,1,6,report,117.97112327750627,11702,23271,35.469989485097116,9.339692077925564
only_Q32,1,7,human,116.25212276524923,11121,21697,33.7089175409131,8.707975549600404
only_Q32,1,8,company,107.24879537905173,5988,6746,18.15025611320813,2.707471219873914
only_Q32,1,9,employees,102.84386632291239,5233,5364,15.8617719172375,2.1528128703533467
only_Q32,1,10,men,101.96238405068118,4298,1352,13.027688840108308,0.5426180090823499
only_Q32,1,11,group,101.23040886212159,7839,14295,23.760831274455334,5.737222218810793
only_Q32,1,12,training,100.03326797733743,8808,18185,26.697971918025587,7.29845302896637
only_Q32,1,13,data,99.7774426375482,11965,30942,36.26717007256768,12.418407127977861
only_Q32,1,14,female,95.18087457970817,4356,727,13.203492924037176,0.2917775832861452
only_Q32,1,15,board,93.61272162503712,4229,4118,12.81854260233086,1.652737397486033
only_Q32,1,16,activity,93.20087191305531,8301,18292,25.16120173609564,7.34139690986268
only_Q911,1,1,energy,153.91752841035478,244486,15044,105.92572929058322,29.29996570244642
only_Q911,1,2,emissions,109.04388325951804,106322,4575,46.06495009789268,8.910352505230815
only_Q911,1,3,climate,96.08293013156334,289384,38402,125.37818625617064,74.7924277389888
only_Q911,1,4,measures,79.71543241757406,98712,9255,42.767850059848215,18.025204904024303
only_Q911,1,5,production,79.57342844566794,65119,3925,28.21338467508769,7.644400783176164
only_Q911,1,6,sustainable,79.108878327831,95403,8823,41.33419644278,17.183833913366446
only_Q911,1,7,renewable,76.40017704776467,51075,1970,22.128697035889736,3.8368075268425588
only_Q911,1,8,use,76.24993072355761,95787,9349,41.500567850744396,18.208280999213745
only_Q911,1,9,sector,75.15781560688119,110533,11956,47.889403220127264,23.285721213669863
only_Q911,1,10,development,73.5146888326431,190783,26243,82.65842793143713,51.1113400644311
only_Q911,1,11,reduction,72.6111478552148,53537,3154,23.195380385911477,6.142787279015955
only_Q911,1,12,reduce,71.89517884287515,46540,2038,20.163868038185186,3.9692455531498143
only_Q911,1,13,efficiency,71.6033064034918,46938,2175,20.336305070398286,4.236069223798256
only_Q911,1,14,carbon,71.52819134146979,51084,2916,22.132596365763902,5.679254186940559
only_Q911,1,15,biodiversity,71.3460531790426,64286,5052,27.852480032289918,9.839366307415537
only_Q911,1,16,adaptation,69.72986164672963,98007,10765,42.46240255303858,20.966108135258956
only_Q912,1,1,stakeholders,174.52280945288976,10194,16205,55.54253957010924,6.142907570639836
only_Q912,1,2,consultation,142.69119869406973,5376,3317,29.29141580624949,1.2573912009757688
only_Q912,1,3,community,128.26470444408557,7833,20566,42.67850818644945,7.796052890945934
only_Q912,1,4,representatives,120.85074386328905,3895,1862,21.222110224207917,0.7058373277711432
only_Q912,1,5,consultations,115.88385271987167,3564,1819,19.41863949655379,0.6895371102125184
only_Q912,1,6,meetings,113.2028199860236,3403,2363,18.54142261693955,0.8957538160704679
only_Q912,1,7,committee,112.24856859266468,4763,9272,25.951453401258615,3.514781795431815
only_Q912,1,8,participation,112.06027034227637,4319,7189,23.53229629226033,2.7251689309058795
only_Q912,1,9,local,108.60167016152478,10864,49599,59.19306944179584,18.80173234163315
only_Q912,1,10,stakeholder,102.6350823684483,3228,4207,17.5879260086632,1.5947677969566054
only_Q912,1,11,members,95.54290604648938,3204,5525,17.457160759528154,2.094388418869799
only_Q912,1,12,process,95.42903315893568,6949,27845,37.86198817664206,10.555338556276842
only_Q912,1,13,project,93.86609280238022,18424,126961,100.38412291933419,48.127719103733675
only_Q912,1,14,engagement,86.94972939559813,3000,6259,16.345656141880294,2.372629341847253
only_Q912,1,15,held,81.5044252963654,2230,3543,12.150271065464352,1.3430621118652848
only_Q912,1,16,committees,78.72480074562411,1658,1244,9.03369929441251,0.47156908471928144
only_Q32,2,1,reporting period,126.97206645233321,5974,2170,43.758675373475974,1.8204730058668728
only_Q32,2,2,environmental social,90.8258030109968,3579,3740,26.215651014675345,3.1375894202498174
only_Q32,2,3,annual performance,60.47285613864697,1377,447,10.08632339961105,0.37500066065552634
only_Q32,2,4,performance report,60.00024240164696,1352,447,9.90320205974883,0.37500066065552634
only_Q32,2,5,implementation project,57.73396757533506,1393,1328,10.20352105712287,1.1140959224844271
only_Q32,2,6,green climate,57.333052404816755,2239,4418,16.400347198060377,3.706382368626656
only_Q32,2,7,men women,57.1876714331562,1224,416,8.965620799654268,0.3489939034288567
only_Q32,2,8,board directors,55.7151861695687,1137,527,8.328358536933743,0.44211487285338336
only_Q32,2,9,women men,55.51046213091193,1226,301,8.980270506843244,0.25251722339443716
only_Q32,2,10,climate fund,54.07039313655035,2247,4961,16.45894602681629,4.161920083919611
only_Q911,2,1,energy efficiency,55.24089531895603,31000,946,27.729554194640716,4.492384316355033
