cls,rank,term,tfidf
only_Q32,1,period gender-disaggregated,0.005053976327959864
only_Q32,2,gender-disaggregated possible,0.005053976327959864
only_Q32,3,schedule concerning,0.004480397579748735
only_Q32,4,female verified,0.004462127239982173
only_Q32,5,project,0.004402624385895772
only_Q32,6,rights diligence,0.004401989582619286
only_Q32,7,gender-related,0.004349083897783958
only_Q32,8,gender equity,0.004337965997552102
only_Q32,9,rights risks,0.0043312028725632674
only_Q32,10,gender,0.004287402565840255
only_Q32,11,gender sensitive,0.004281783057641581
only_Q32,12,climate,0.004235952824934505
only_Q32,13,project gender,0.004228296934279739
only_Q32,14,rights violations,0.004195634942154848
only_Q32,15,safeguards gender,0.004192837598806789
only_Q32,16,equality women,0.004178667510506545
only_Q32,17,women,0.00416505219290453
only_Q32,18,national,0.0041522513135393195
only_Q32,19,gender focal,0.004124935759398676
only_Q32,20,management,0.004107129109840891
only_Q911,1,climate,0.002121570415155879
only_Q911,2,energy,0.002095222284911253
only_Q911,3,development,0.002056461689313678
only_Q911,4,change,0.002041782709840087
only_Q911,5,national,0.002038496461929544
only_Q911,6,climate change,0.002024820260392933
only_Q911,7,gross final,0.001980866308435473
only_Q911,8,sector,0.0019711609555397754
only_Q911,9,emissions,0.0019650907737644033
only_Q911,10,support,0.001959771477082086
only_Q911,11,management,0.0019535320736791075
only_Q911,12,measures,0.0019534845853793597
only_Q911,13,adaptation,0.0019523644359375667
only_Q911,14,use,0.0019487837770948658
only_Q911,15,sustainable,0.0019481560108878613
only_Q911,16,project,0.0019425136925797686
only_Q911,17,water,0.0019375951941877564
only_Q911,18,areas,0.0019230550439080984
only_Q911,19,resources,0.0019213939539854529
only_Q911,20,implementation,0.0019177275490233265
only_Q912,1,project,0.005513048885631467
only_Q912,2,national,0.0055020641329696805
only_Q912,3,climate,0.005433514598030633
only_Q912,4,management,0.005413338035080554
only_Q912,5,local,0.00524395360870235
only_Q912,6,change,0.005229108445594719
only_Q912,7,implementation,0.005224062348475642
only_Q912,8,development,0.005218325097900244
only_Q912,9,stakeholders,0.005211523955612148
only_Q912,10,climate change,0.005167767484987924
only_Q912,11,public,0.005134055771155994
only_Q912,12,plan,0.005130025185221859
only_Q912,13,government,0.00511833891396315
only_Q912,14,community,0.005077305458482002
only_Q912,15,activities,0.005028827008426683
only_Q912,16,process,0.005016299028923075
only_Q912,17,forest,0.005006603241141717
only_Q912,18,environmental,0.005004956689628706
only_Q912,19,water,0.004981013916341392
only_Q912,20,areas,0.004923340613789292
