rank,term,z,rate_per_10k_justice,rate_per_10k_background
1,development,67.40708027067984,50.62575047413706,20.002827887263948
2,project,66.75511616843528,61.425215194719854,28.235917389895853
3,climate,65.46950247987238,76.97433370781621,40.6893601636595
4,local,64.18779417525518,31.44490469093504,7.624556800263459
5,adaptation,60.71939906364144,26.89834292856253,5.809697505552861
6,communities,59.06348875391847,23.599171188174275,2.7348175565264237
7,implementation,56.0824169572626,31.19947625571925,11.060976766579383
8,sustainable,55.27843327556567,23.364173461455156,5.677252152684435
9,women,55.151180029458395,32.71867826970499,0.7731944924210832
10,community,53.08756595684812,19.195571489314965,2.9961286581316973
11,management,51.80826632107192,43.145091768759784,21.574274101027168
12,stakeholders,50.41169629864159,17.151766195055476,2.190717728526402
13,climate change,50.162962408989685,41.43016057768945,20.96574139865872
14,gender,48.72402458131123,30.268075344075328,0.5011445784210724
15,social,48.24455654094069,18.774048151831845,5.061560242052831
16,participation,48.15141372215428,15.784116239815488,1.6859935459737507
17,support,47.00166588058383,25.420863748563477,10.280623065895142
18,biodiversity,45.75924385066239,16.18600530248134,4.019895439763316
19,knowledge,42.434197188890266,13.293017622375219,2.9567530126843273
20,planning,41.99791420806162,16.471315858419697,5.45889630065811
21,national,40.17353823121904,52.953025611070785,34.457269370580306
22,change,40.11744842996687,46.53875345670612,29.2203085260801
23,policy,39.93246532883955,22.597823172493854,10.5276157509741
24,ensure,39.053916345749414,15.747915545621158,5.795379089026545
25,access,38.54261556629888,12.792343614535008,3.8194376083948876
