cls,ngram,rank,term,z,count_in_class,count_in_others,rate_per_10k_in_class,rate_per_10k_in_others
only_Q32,1,1,women,102.49203448420812,14571,874,57.94039030930967,1.641504752757268
only_Q32,1,2,gender,85.80182219786329,20173,305,80.2162853414113,0.5728363267631198
only_Q32,1,3,human,80.27184509820346,8707,3976,34.622673695913754,7.46753191872185
only_Q32,1,4,rights,76.23758980916574,9942,366,39.5335502336941,0.6874035921157438
only_Q32,1,5,reporting,74.19288177626275,8413,4564,33.45360673064459,8.571885230645504
only_Q32,1,6,project,69.85989682571255,27087,32414,107.70924111648281,60.87841539573693
only_Q32,1,7,report,65.89349750202453,9100,6678,36.18540606785519,12.542298328275784
only_Q32,1,8,data,64.42371252852669,9401,7303,37.382307960868864,13.716143260167422
only_Q32,1,9,training,58.46443083897982,6805,4791,27.059526185907096,8.998225709908548
only_Q32,1,10,company,57.75277758865512,4610,2176,18.331288128880487,4.08685851487393
only_Q32,1,11,social,55.7735303914021,8755,7790,34.81354177187607,14.630803231097387
only_Q32,1,12,men,53.61680479890588,3303,369,13.13410947715667,0.6930380477888236
only_Q32,1,13,value,52.9126785631232,6260,4813,24.892378240085,9.039545051511134
only_Q32,1,14,female,51.95313762475373,3390,272,13.480057864838363,0.5108573143592412
only_Q32,1,15,evaluation,51.413563901476486,4693,2985,18.66133084356532,5.606283394714468
only_Q32,1,16,vulnerable,50.435572529936636,3198,1275,12.71658556098911,2.3946436610589434
only_Q911,1,1,energy,127.31271569714478,38290,12844,108.38772062520098,29.824538182909127
only_Q911,1,2,emissions,94.42205017774046,17041,3905,48.23805555429747,9.067644161029285
only_Q911,1,3,climate,71.80803657723584,45798,33488,129.64065889770055,77.76114408823271
only_Q911,1,4,renewable,65.52787410768617,7990,1683,22.61733841199676,3.9080269201055793
only_Q911,1,5,production,65.06902701277035,10099,3390,28.587296698717804,7.871783279357049
only_Q911,1,6,sustainable,61.70602817909406,14776,7539,41.82650718093418,17.50601007170289
only_Q911,1,7,reduce,61.303433714222315,7336,1760,20.766056894919675,4.0868255373653115
only_Q911,1,8,efficiency,60.915179827833114,7370,1839,20.862300888162217,4.270268274553868
only_Q911,1,9,use,60.77344746291969,15153,7992,42.89368322365292,18.557903235581573
only_Q911,1,10,measures,60.773204328877505,15221,8049,43.086171210138005,18.690260653553064
only_Q911,1,11,carbon,60.43083517764518,8141,2492,23.044774970220978,5.7865734313149755
only_Q911,1,12,reduction,59.32536833752657,8311,2753,23.525994936433673,6.392631082026536
only_Q911,1,13,biodiversity,56.69970516016528,10186,4513,28.83356809319136,10.479456619391847
only_Q911,1,14,sector,56.48915563054415,17332,10541,49.06179090822626,24.47683408486804
only_Q911,1,15,economic,55.37625750325293,10722,5107,30.35082633960316,11.858760238252641
only_Q911,1,16,adaptation,55.141012596708954,15661,9295,44.3316817109238,21.583547369210553
only_Q912,1,1,stakeholders,108.10567554646929,10173,5853,56.77863698899645,9.678357090202685
only_Q912,1,2,community,91.40822727699332,7814,5108,43.61233357239932,8.44644592802927
only_Q912,1,3,local,86.14379158158559,10831,11610,60.451137051786155,19.197971265548123
only_Q912,1,4,consultation,84.86867473642334,5365,1140,29.943712518034598,1.88507211392979
only_Q912,1,5,representatives,72.28227900381776,3889,837,21.705703258646142,1.384039788911609
only_Q912,1,6,consultations,68.70770687596996,3560,687,19.86945322725129,1.136003984447163
only_Q912,1,7,participation,67.91519120543984,4302,2791,24.010783085290743,4.61511953506846
only_Q912,1,8,meetings,67.17589963249932,3399,1223,18.970862786355937,2.022318592400117
only_Q912,1,9,process,65.82189481380321,6910,7907,38.5668319663782,13.074794039335833
only_Q912,1,10,committee,63.00934795795903,4733,4212,26.416326439488863,6.9648453893616455
only_Q912,1,11,management,60.160625320082985,15094,27832,84.24424916071095,46.022216732363084
only_Q912,1,12,stakeholder,57.96577489762358,3221,2181,17.977390124993374,3.6064405969130457
only_Q912,1,13,forest,57.430640266811544,6728,9022,37.55103407667042,14.918526852521548
only_Q912,1,14,members,57.066005148342825,3196,2242,17.83785744783571,3.707308490728587
only_Q912,1,15,organizations,53.411352527217026,3325,2887,18.557846061969254,4.773862449925705
only_Q912,1,16,coordination,53.114257058608814,3752,3705,20.941064187822146,6.126484370271817
only_Q32,2,1,reporting period,64.75418819847638,4608,1053,59.80097488047591,6.5788898232759
