cls,rank,term,tfidf
only_Q32,1,gender-disaggregated,0.005313188633151874
only_Q32,2,gender-disaggregated possible,0.0052091591483699
only_Q32,3,period gender-disaggregated,0.0052091591483699
only_Q32,4,human rights,0.005128040795578525
only_Q32,5,gender-responsive,0.005071706985577734
only_Q32,6,rights policy,0.004856640837979074
only_Q32,7,gender-sensitive,0.004783887647057639
only_Q32,8,gender expert,0.004664955924062572
only_Q32,9,women empowerment,0.004632338490118664
only_Q32,10,schedule concerning,0.004615436425020719
only_Q32,11,project,0.0045945754599551955
only_Q32,12,female verified,0.004588015501482851
only_Q32,13,gender perspective,0.00455147245042346
only_Q32,14,rights diligence,0.004507208363583522
only_Q32,15,integration gender,0.004498585176120588
only_Q32,16,gender,0.004473750527387753
only_Q32,17,gender equity,0.00445686357659237
only_Q32,18,gender-related,0.00445686357659237
only_Q32,19,rights risks,0.0044506932456179794
only_Q32,20,climate,0.004420827366750005
only_Q911,1,climate,0.004243163541724785
only_Q911,2,energy,0.004178405125463696
only_Q911,3,development,0.004087181709388575
only_Q911,4,change,0.004061167058644959
only_Q911,5,national,0.004045961127421849
only_Q911,6,climate change,0.004022216637095242
only_Q911,7,sector,0.003891729534498575
only_Q911,8,emissions,0.003885605554011818
only_Q911,9,support,0.0038620612273882766
only_Q911,10,adaptation,0.003855062628249862
only_Q911,11,management,0.0038454205244247515
only_Q911,12,measures,0.0038447558123458213
only_Q911,13,use,0.003843136407177461
only_Q911,14,sustainable,0.0038340242755027123
only_Q911,15,project,0.0038145388862164576
only_Q911,16,water,0.003809728103828314
only_Q911,17,areas,0.0037683083395246295
only_Q911,18,resources,0.0037683083395246295
only_Q911,19,implementation,0.003766483777618193
only_Q911,20,government,0.003757522847989034
only_Q912,1,project,0.005209287358120247
only_Q912,2,national,0.005195334667373592
only_Q912,3,climate,0.005134327024275331
only_Q912,4,management,0.005113601750528138
only_Q912,5,local,0.004953827799287385
only_Q912,6,change,0.004941081830021634
only_Q912,7,implementation,0.0049335843838049795
only_Q912,8,development,0.004928785813841906
only_Q912,9,stakeholders,0.004923655078948664
only_Q912,10,climate change,0.0048832485374611136
only_Q912,11,public,0.004851718825208474
only_Q912,12,plan,0.00484696980997173
only_Q912,13,government,0.004835627371445807
only_Q912,14,community,0.004796648439172156
only_Q912,15,activities,0.004749364249383314
only_Q912,16,process,0.004737459894965685
only_Q912,17,environmental,0.00472916793434145
only_Q912,18,forest,0.004724610137358801
only_Q912,19,water,0.004706157879567547
only_Q912,20,areas,0.0046497435299084665
